x-axis, y-axis
6.366366366366366947e+01,7.217371923969908565e-01
6.386386386386386960e+01,7.212584469923816188e-01
6.406406406406406973e+01,7.207797015877723812e-01
6.426426426426426985e+01,7.203009561831632546e-01
6.446446446446446998e+01,7.198222107785540169e-01
6.466466466466467011e+01,7.032552035940268231e-01
6.486486486486487024e+01,6.838452506772033646e-01
6.506506506506507037e+01,6.644352977603799060e-01
6.526526526526527050e+01,6.450253448435564474e-01
6.546546546546547063e+01,6.198571350121713230e-01
6.566566566566567076e+01,5.612501225926376236e-01
6.586586586586587089e+01,5.026431101731039242e-01
6.606606606606607102e+01,4.440360977535701692e-01
6.626626626626627115e+01,3.854290853340364698e-01
6.646646646646647127e+01,3.303255598309076668e-01
6.666666666666667140e+01,2.796095840075397687e-01
6.686686686686687153e+01,2.288936081841719261e-01
6.706706706706707166e+01,1.781776323608040280e-01
6.726726726726727179e+01,1.274616565374361576e-01
6.746746746746747192e+01,9.915102210447397646e-02
6.766766766766767205e+01,7.866919041208728092e-02
6.786786786786787218e+01,5.818735871970057844e-02
6.806806806806807231e+01,3.770552702731387595e-02
6.826826826826827244e+01,1.833042718196671930e-02
6.846846846846847257e+01,2.686723612662518870e-02
6.866866866866867269e+01,3.540404507128365463e-02
6.886886886886887282e+01,4.394085401594212403e-02
6.906906906906907295e+01,5.247766296060058649e-02
6.926926926926927308e+01,6.244975015971286625e-02
6.946946946946947321e+01,7.526820564496279620e-02
6.966966966966967334e+01,8.808666113021272615e-02
6.986986986986987347e+01,1.009051166154626561e-01
7.007007007007007360e+01,1.137235721007125999e-01
7.027027027027027373e+01,1.254229605774551948e-01
7.047047047047047386e+01,1.364715642974078380e-01
7.067067067067067399e+01,1.475201680173605090e-01
7.087087087087087411e+01,1.585687717373131522e-01
7.107107107107107424e+01,1.696173754572657955e-01
7.127127127127127437e+01,1.769935907905501038e-01
7.147147147147147450e+01,1.840907213846710855e-01
7.167167167167167463e+01,1.911878519787920672e-01
7.187187187187187476e+01,1.982849825729130488e-01
7.207207207207207489e+01,1.998604175166613095e-01
7.227227227227227502e+01,1.825737912717612654e-01
7.247247247247247515e+01,1.652871650268611936e-01
7.267267267267267528e+01,1.480005387819611218e-01
7.287287287287287540e+01,1.307139125370610500e-01
7.307307307307307553e+01,1.136227004229302534e-01
7.327327327327327566e+01,9.670933846971260794e-02
7.347347347347347579e+01,7.979597651649494860e-02
